Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.6212","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","3.3821","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","896.2565","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","896.2565","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","2.9762","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.6697","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","3.6459","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","966.1635","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","966.1635","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","2.707","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.6091","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","3.3161","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","878.7665","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","878.7665","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","2.7327","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","0.6148","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","3.3475","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","887.0875","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","887.0875","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","2.7165","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","0.6112","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","3.3277","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","881.8405","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","881.8405","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","3.0162","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","0.6787","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","3.6949","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","979.1485","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","979.1485","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","3.0854","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.6942","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","3.7796","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","1001.594","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","1001.594","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","3.0587","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.6882","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","3.7469","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","992.9285","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","992.9285","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","3.2658","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.7348","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","4.0006","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","1060.159","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","1060.159","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","2.7899","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.6277","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","3.4176","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","905.664","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","905.664","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","2.6924","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.6058","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","3.2981","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","873.9965","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","873.9965","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","3.3145","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.7458","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","4.0602","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","1075.953","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","1075.953","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","3.4454","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.7752","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","4.2206","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","1118.459","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","1118.459","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","3.472","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.7812","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","4.2532","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","1127.098","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","1127.098","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","3.8507","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.8664","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","4.7171","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","1250.0315","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","1250.0315","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","3.8662","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.8699","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","4.7361","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","1255.0665","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","1255.0665","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","4.2889","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.965","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","5.2539","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","1392.2835","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","1392.2835","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","4.1777","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.94","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","5.1177","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","1356.1905","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","1356.1905","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","5.1601","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","1.161","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","6.3211","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","1675.0915","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","1675.0915","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","4.4036","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.9908","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","5.3945","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","1429.5425","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","1429.5425","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","4.7632","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","1.0717","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","5.8349","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","1546.2485","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","1546.2485","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","4.2603","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.9586","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","5.2188","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","1382.982","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","1382.982","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","4.1492","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7236","Indirect emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.9336","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","5.0828","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","1346.942","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","1346.942","E","Estimated value",""
"GT","Emissions totals","826","United Kingdom of Great Britain and Northern Ireland","7234","Direct emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","4.4474","E","Estimated value",""
